,ORIGINAL_commentText,commentText,Label
0,: O كاظم يسواكم بس انتم لان مقاماته تدرس فى الجامعات  وانتم لا,: O كاظم يسواكم بس انتم لان مقاماته تدرس فى الجامعات  وانتم لا,N
1,: سخط على ليكي,: سخط على ليكي,P
2,"?  .  . مسائكم سعيد يا شباب , ممكن حد يقول لى اسم المذيعه  اللى وردت فى المقطع  2  من التوب تن","?  .  . مسائكم سعيد يا شباب , ممكن حد يقول لى اسم المذيعه  اللى وردت فى المقطع  2  من التوب تن",N
3,؟  ؟  ؟  ؟  ؟  ؟  فهمونا بس هو انشهر بلبنان ولا بالكويت ؟  ؟  ؟  ؟  ؟  نحبك بزاف يا قيصر تحيه  من الجزائر,؟  ؟  ؟  ؟  ؟  ؟  فهمونا بس هو انشهر بلبنان ولا بالكويت ؟  ؟  ؟  ؟  ؟  نحبك بزاف يا قيصر تحيه  من الجزائر,N
4," . 
انا ضد تصرفات احلام بس ليه اسب واشتم وفى النهايه  سيئات ومحد درا عنى 😂
ونسيتم اهم نقطه  .  .  .  . الوسط الفنى كله قذاره  ووساخه ", .  انا ضد تصرفات احلام بس ليه اسب واشتم وفى النهايه  سيئات ومحد درا عنى 😂 ونسيتم اهم نقطه  .  .  .  . الوسط الفنى كله قذاره  ووساخه ,N
5,.   .  .  .  .  . مضغوطييييييين😂😂 كبر طمكم,.   .  .  .  .  . مضغوطييييييين😂😂 كبر طمكم,N
6," .  .  .  .  !  !  !  !  ؟  ؟  ؟  ؟ 
انتى تضحكى على فله  .  .  .  .  !  ؟ 
فله  صوتها ماشاء الله عليه  ،  ما تلحقيهش حتى فى النص .  .  .  !  !  ! 
ربى يهديك .  .  .  . الظاهر انتى اللى مذارى تسكرى .  .  .  !  !  !  !  !  ! ", .  .  .  .  !  !  !  !  ؟  ؟  ؟  ؟  انتى تضحكى على فله  .  .  .  .  !  ؟  فله  صوتها ماشاء الله عليه  ،  ما تلحقيهش حتى فى النص .  .  .  !  !  !  ربى يهديك .  .  .  . الظاهر انتى اللى مذارى تسكرى .  .  .  !  !  !  !  !  ! ,N
7,. اليحجى ع كاظم الساهر نغل يعنى امه جابته بل بوكه ياحثاله  مجتمع ما توصلون قندره  كاظم,. اليحجى ع كاظم الساهر نغل يعنى امه جابته بل بوكه ياحثاله  مجتمع ما توصلون قندره  كاظم,P
8,. خخخخ الملكه احلام فيها شذوذ شنو هل بوس والدلع مع شذا والله عيب اطلعت بويه احلام بس بشعر خخخخخخخ,. خخخخ الملكه احلام فيها شذوذ شنو هل بوس والدلع مع شذا والله عيب اطلعت بويه احلام بس بشعر خخخخخخخ,P
9,. عاهره,. عاهره,P
10,. ما ظل غير عاهره تحكى بالسياسه  .  .  . لعن الله زمن ماتت فيه الرجال واصبحت العاهرات فيه مثقفات .  .  .  .  . الله يرحمك يا صدام حسين المجيد  .  .,. ما ظل غير عاهره تحكى بالسياسه  .  .  . لعن الله زمن ماتت فيه الرجال واصبحت العاهرات فيه مثقفات .  .  .  .  . الله يرحمك يا صدام حسين المجيد  .  .,P
11,. مقرفه,. مقرفه,P
12, مقهورين, مقهورين,N
13," ""  معرس  ""  غير  ""  معرص ""   .  .  .   ""  معرس ""   بالتونسى يعنى  ""  متزوج  "" "," ""  معرس  ""  غير  ""  معرص ""   .  .  .   ""  معرس ""   بالتونسى يعنى  ""  متزوج  "" ",N
14," ""  موووحترم جييداا  ""  🙈"," ""  موووحترم جييداا  ""  🙈",N
15," "" انا open mind ""  هههههه مغروره  و عنصريه  .  الله يهديها و يهدينا . "," "" انا open mind ""  هههههه مغروره  و عنصريه  .  الله يهديها و يهدينا . ",N
16," (  ( القافله  تسير والكلاب تعوى  )  ) 
 (  ( سالو حكيم لماذا لا ترد على من يسيء اليك  .  .  قال ليس من الحكمه  ان اعظ كلبا عظنى  )  )   (  ( كلام الناس كالحجاره اما ان تضعه تحت قدمك فيرفعك او تحمله على ظهرك فيكسرك  )  ) وكاظم يطبق نظريه  (  ( كن كالنخيل فى الآفاق مرتفعا ترمى بصخرا تعطى اطيب الثمرا )  ) ", (  ( القافله  تسير والكلاب تعوى  )  )   (  ( سالو حكيم لماذا لا ترد على من يسيء اليك  .  .  قال ليس من الحكمه  ان اعظ كلبا عظنى  )  )   (  ( كلام الناس كالحجاره اما ان تضعه تحت قدمك فيرفعك او تحمله على ظهرك فيكسرك  )  ) وكاظم يطبق نظريه  (  ( كن كالنخيل فى الآفاق مرتفعا ترمى بصخرا تعطى اطيب الثمرا )  ) ,P
17," ( ومن تتبع عورت اخيه تتبع الله عورته ومن تتبع عورته فضحه ولو فى داره )   !  !  ! 
صار همنا الناس وش سووا وش قالوا وندخل بالنوايا كاننا منزهين وكان اخلاقنا اخلاق الملائكه  .  . 
استغفر الله العظيم واتوب اليه .  . 
ربنا لاتؤاخذنا بما فعل السفهاء منا  .  . 
ارتقوا قليلا وين اخلاق المسلمين  ؟  ؟  ؟  ؟ ", ( ومن تتبع عورت اخيه تتبع الله عورته ومن تتبع عورته فضحه ولو فى داره )   !  !  !  صار همنا الناس وش سووا وش قالوا وندخل بالنوايا كاننا منزهين وكان اخلاقنا اخلاق الملائكه  .  .  استغفر الله العظيم واتوب اليه .  .  ربنا لاتؤاخذنا بما فعل السفهاء منا  .  .  ارتقوا قليلا وين اخلاق المسلمين  ؟  ؟  ؟  ؟ ,N
18,{ احلام والله انى احبك من مل قلبى ♡♥ },{ احلام والله انى احبك من مل قلبى ♡♥ },N
19,{ يتباعوا بالعزا }  كلهم هم و الحكومات و الله الشعوب هم المساكين من كثره  ما نسمع وما نرى صرنا غير قادرين على اتخاد اى موقف و بسبب ايماننا بالسلم المزعوم والذى هو بالاساس ليس سلم انما هو تقبل للاستعباد اطلق علينا العدو امثال هذه  ( الساقطه  )  و من قبلها و القادم اعظم الله يجيرنا من ضعفنا و قله  حيلتنا,{ يتباعوا بالعزا }  كلهم هم و الحكومات و الله الشعوب هم المساكين من كثره  ما نسمع وما نرى صرنا غير قادرين على اتخاد اى موقف و بسبب ايماننا بالسلم المزعوم والذى هو بالاساس ليس سلم انما هو تقبل للاستعباد اطلق علينا العدو امثال هذه  ( الساقطه  )  و من قبلها و القادم اعظم الله يجيرنا من ضعفنا و قله  حيلتنا,P
20,# السعوديه  💚 تاج راسها هالمنافقه,# السعوديه  💚 تاج راسها هالمنافقه,P
21,# تاج _ راسكم  .  .  .,# تاج _ راسكم  .  .  .,N
22,# تصبحوا _ على _ خير ✋ سطلت نعسسسس 😆,# تصبحوا _ على _ خير ✋ سطلت نعسسسس 😆,N
23,# رغده,# رغده,N
24,# فديت _ كاظم 😍😍😍❤❤❤❤,# فديت _ كاظم 😍😍😍❤❤❤❤,N
25,# كلنا _ ضد _ مريم _ حسين,# كلنا _ ضد _ مريم _ حسين,N
26,# لا _ للطائفيه  _ لا _ للعنصريه,# لا _ للطائفيه  _ لا _ للعنصريه,N
27,# لن _ تصبح _ كاظم  .    انتهى,# لن _ تصبح _ كاظم  .    انتهى,N
28,# مضغوطين,# مضغوطين,N
29,# مضغوطين من القيصر #,# مضغوطين من القيصر #,N
